Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2026.03.30 00:00:00,93089.01,93449.87,93052.76,93298.16,71568,45,0
2026.03.29 00:00:00,93504.85,93533.48,93021.72,93088.99,79706,45,0
2026.03.28 00:00:00,93463.24,93562.22,93364.62,93504.83,86254,45,0
2026.03.27 00:00:00,93421.84,93463.22,93144.77,93463.22,86400,45,0
2026.03.26 00:00:00,93566.03,93620.77,93339.15,93421.82,86400,45,0
2026.03.25 00:00:00,93527.53,93672.00,93481.48,93566.01,86400,45,0
2026.03.24 00:00:00,93602.42,93624.78,93400.78,93527.51,86400,45,0
2026.03.23 00:00:00,93677.65,93821.12,93563.19,93602.40,86401,45,0
2026.03.22 00:00:00,93564.07,93867.86,93559.62,93677.63,85727,45,0
2026.03.21 00:00:00,93618.55,93767.93,93546.39,93564.05,86400,45,0
2026.03.20 00:00:00,93991.75,94008.81,93540.11,93618.53,86400,45,0
2026.03.19 00:00:00,94168.92,94341.24,93893.02,93991.73,86400,45,0
2026.03.18 00:00:00,94122.96,94194.04,93967.87,94168.90,86401,45,0
2026.03.17 00:00:00,94089.51,94133.92,93931.34,94122.94,86400,45,0
2026.03.16 00:00:00,94066.08,94213.13,93948.83,94089.49,86400,45,0
2026.03.15 00:00:00,93854.55,94154.03,93842.59,94066.06,84981,45,0
2026.03.14 00:00:00,93980.27,94067.98,93824.01,93854.53,79019,45,0
2026.03.13 00:00:00,93982.44,94083.43,93824.20,93980.25,86400,45,0
2026.03.12 00:00:00,93988.78,94086.25,93805.42,93982.42,86344,45,0
2026.03.11 00:00:00,93972.14,94156.39,93868.64,93988.76,86400,45,0
2026.03.10 00:00:00,93926.71,94199.88,93893.67,93972.12,86401,45,0
2026.03.09 00:00:00,93885.30,94041.47,93734.73,93926.69,86400,45,0
2026.03.08 00:00:00,93665.16,94030.64,93612.44,93885.28,85649,45,0
2026.03.07 00:00:00,93466.66,93692.50,93461.90,93665.14,86252,45,0
2026.03.06 00:00:00,93385.17,93491.17,93162.60,93466.64,86403,45,0
2026.03.05 00:00:00,93305.98,93445.45,93144.12,93385.15,86403,45,0
2026.03.04 00:00:00,93071.71,93318.58,92981.07,93305.96,86394,45,0
2026.03.03 00:00:00,92834.14,93071.69,92676.55,93071.69,86403,45,0
2026.03.02 00:00:00,92941.49,93030.37,92772.90,92834.12,86403,45,0
2026.03.01 00:00:00,93053.25,93155.41,92923.26,92941.47,85737,45,0
