Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2026.03.30 12:00:00,105820.33,106163.68,105723.10,106088.41,28064,80,0
2026.03.30 00:00:00,105745.99,105841.45,105468.97,105820.28,43200,80,0
2026.03.29 12:00:00,106190.91,106233.14,105640.93,105745.94,43200,80,0
2026.03.29 00:00:00,106100.20,106301.05,105999.52,106190.86,36506,80,0
2026.03.28 12:00:00,106088.83,106205.76,105821.21,106100.15,43053,80,0
2026.03.28 00:00:00,105852.69,106104.58,105690.83,106088.78,43201,80,0
2026.03.27 12:00:00,105823.51,106047.22,105761.68,105852.64,43200,80,0
2026.03.27 00:00:00,105641.38,105946.11,105477.01,105823.46,43200,80,0
2026.03.26 12:00:00,105622.27,105741.18,105412.18,105641.33,43200,80,0
2026.03.26 00:00:00,105694.07,105827.54,105561.34,105622.22,43200,80,0
2026.03.25 12:00:00,105688.32,105899.74,105580.43,105694.02,43200,80,0
2026.03.25 00:00:00,105778.39,105825.21,105429.71,105688.27,43200,80,0
2026.03.24 12:00:00,105334.10,105797.64,105317.87,105778.34,43200,80,0
2026.03.24 00:00:00,105424.19,105590.03,105191.15,105334.05,43200,80,0
2026.03.23 12:00:00,105446.48,105615.89,105121.80,105424.14,43200,80,0
2026.03.23 00:00:00,105617.24,105788.90,105437.33,105446.43,43201,80,0
2026.03.22 12:00:00,105538.79,105785.33,105442.36,105617.19,43200,80,0
2026.03.22 00:00:00,104991.66,105578.95,104884.02,105538.74,42527,80,0
2026.03.21 12:00:00,105035.39,105398.20,104935.49,104991.61,43200,80,0
2026.03.21 00:00:00,104875.28,105225.26,104820.21,105035.34,43200,80,0
2026.03.20 12:00:00,104709.55,105023.98,104709.55,104875.23,43200,80,0
2026.03.20 00:00:00,104818.29,104849.26,104633.67,104709.50,43200,80,0
2026.03.19 12:00:00,105451.25,105548.61,104746.99,104818.24,43200,80,0
2026.03.19 00:00:00,105125.50,105499.47,105112.73,105451.20,43200,80,0
2026.03.18 12:00:00,105315.44,105331.94,105040.26,105125.45,43201,80,0
2026.03.18 00:00:00,104986.43,105315.39,104771.35,105315.39,43200,80,0
2026.03.17 12:00:00,104738.51,105055.00,104573.32,104986.38,43200,80,0
2026.03.17 00:00:00,104546.12,104748.60,104413.96,104738.46,43200,80,0
2026.03.16 12:00:00,104450.20,104634.49,104243.55,104546.07,43200,80,0
2026.03.16 00:00:00,104342.21,104619.05,104245.00,104450.15,43200,80,0
2026.03.15 12:00:00,104410.62,104579.10,104158.68,104342.16,43200,80,0
2026.03.15 00:00:00,104412.29,104525.24,104206.73,104410.57,41781,80,0
2026.03.14 12:00:00,104487.25,104658.06,104303.85,104412.24,42951,80,0
2026.03.14 00:00:00,104581.19,104726.41,104442.07,104487.25,36068,80,0
2026.03.13 12:00:00,104361.80,104654.26,104298.38,104581.14,43200,80,0
2026.03.13 00:00:00,104918.12,104945.04,104305.72,104361.75,43200,80,0
2026.03.12 12:00:00,104947.11,104976.56,104469.90,104918.07,43200,80,0
2026.03.12 00:00:00,104862.85,104986.61,104744.71,104947.06,43144,80,0
2026.03.11 12:00:00,104636.66,104982.38,104545.53,104862.80,43200,80,0
2026.03.11 00:00:00,104444.25,104800.48,104333.60,104636.61,43200,80,0
2026.03.10 12:00:00,104306.05,104592.05,104190.13,104444.20,43200,80,0
2026.03.10 00:00:00,104409.84,104712.25,104186.10,104306.00,43201,80,0
2026.03.09 12:00:00,104866.69,104950.44,104398.69,104409.79,43200,80,0
2026.03.09 00:00:00,104194.98,104866.64,104157.49,104866.64,43200,80,0
2026.03.08 12:00:00,104464.25,104595.13,104056.14,104194.93,43200,80,0
2026.03.08 00:00:00,104184.42,104634.79,104142.84,104464.20,42449,80,0
2026.03.07 12:00:00,104574.65,104617.73,104031.28,104184.37,43051,80,0
2026.03.07 00:00:00,104375.46,104641.47,104255.77,104574.60,43201,80,0
2026.03.06 12:00:00,103933.25,104453.97,103933.25,104375.41,43202,80,0
2026.03.06 00:00:00,103906.10,104054.65,103759.34,103933.20,43201,80,0
2026.03.05 12:00:00,103853.75,104164.53,103830.15,103906.05,43201,80,0
2026.03.05 00:00:00,103716.13,103915.67,103631.15,103853.70,43202,80,0
2026.03.04 12:00:00,103786.37,104102.96,103670.03,103716.08,43200,80,0
2026.03.04 00:00:00,103410.56,103967.30,103410.56,103786.32,43194,80,0
2026.03.03 12:00:00,103557.47,103597.22,103298.66,103410.51,43202,80,0
2026.03.03 00:00:00,103826.41,103890.53,103348.82,103557.42,43201,80,0
2026.03.02 12:00:00,103908.68,104203.17,103797.31,103826.36,43201,80,0
2026.03.02 00:00:00,103801.31,103948.41,103668.65,103908.63,43202,80,0
2026.03.01 12:00:00,104194.64,104281.77,103791.86,103801.26,43201,80,0
2026.03.01 00:00:00,104503.30,104512.25,104140.62,104194.59,42536,80,0
