Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2026.01.31 18:00:00,105345.41,105479.45,105288.42,105380.99,21600,96,0
2026.01.31 12:00:00,105261.70,105352.52,105201.38,105345.37,21600,96,0
2026.01.31 06:00:00,105296.55,105316.39,105197.14,105261.66,21600,96,0
2026.01.31 00:00:00,105215.80,105425.13,105147.96,105296.51,21600,96,0
2026.01.30 18:00:00,105210.17,105324.33,105121.15,105215.76,21600,96,0
2026.01.30 12:00:00,105261.89,105405.87,105163.61,105210.13,21600,96,0
2026.01.30 06:00:00,105276.82,105423.67,105188.20,105261.85,21600,96,0
2026.01.30 00:00:00,105004.64,105286.39,104940.83,105276.78,21600,96,0
2026.01.29 18:00:00,104970.63,105194.96,104943.36,105004.60,21600,96,0
2026.01.29 12:00:00,105266.32,105319.36,104949.83,104970.59,21600,96,0
2026.01.29 06:00:00,105102.58,105266.28,105066.69,105266.28,21600,96,0
2026.01.29 00:00:00,105079.81,105117.94,104832.55,105102.54,21600,96,0
2026.01.28 18:00:00,105071.12,105200.15,104936.65,105079.77,21600,96,0
2026.01.28 12:00:00,105179.23,105225.20,104877.67,105071.08,21600,96,0
2026.01.28 06:00:00,104865.23,105179.19,104808.64,105179.19,21600,96,0
2026.01.28 00:00:00,105235.03,105310.03,104811.95,104865.19,21600,96,0
2026.01.27 18:00:00,105358.92,105378.68,105059.46,105234.99,21600,96,0
2026.01.27 12:00:00,105500.43,105571.99,105225.16,105358.88,21600,96,0
2026.01.27 06:00:00,105235.85,105500.39,105219.80,105500.39,21601,96,0
2026.01.27 00:00:00,105263.63,105488.92,105231.21,105235.81,21600,96,0
2026.01.26 18:00:00,105394.52,105521.75,105117.36,105263.59,21600,96,0
2026.01.26 12:00:00,105394.94,105512.57,105249.88,105394.48,21600,96,0
2026.01.26 06:00:00,105647.21,105673.30,105349.90,105394.90,21600,96,0
2026.01.26 00:00:00,105782.34,105911.02,105609.13,105647.17,21600,96,0
2026.01.25 18:00:00,105450.22,105795.35,105450.22,105782.30,21600,96,0
2026.01.25 12:00:00,105230.72,105450.18,105111.37,105450.18,21600,96,0
2026.01.25 06:00:00,105281.00,105317.28,105106.94,105230.68,21538,96,0
2026.01.25 00:00:00,105392.77,105582.25,105278.00,105280.96,21600,96,0
